Time(S),Current(A)
45.0,-2.8466e-06
45.1,-2.8017e-06
45.2,-2.8369e-06
45.3,-2.4879e-06
45.4,-2.1156e-06
45.5,-1.8291e-06
45.6,-3.1658e-06
45.7,-2.9751e-06
45.8,-2.7213e-06
45.9,-2.9387e-06
46.0,-2.5675e-06
46.1,-2.707e-06
46.2,-2.4544e-06
46.3,-2.2394e-06
46.4,-1.9032e-06
46.5,-2.2772e-06
46.6,-2.0195e-06
46.7,-2.6656e-06
46.8,-2.7364e-06
46.9,-2.4411e-06
47.0,-2.6232e-06
47.1,-2.7008e-06
47.2,-2.8405e-06
47.3,-2.7184e-06
47.4,-2.3554e-06
47.5,-2.5776e-06
47.6,-2.5277e-06
47.7,-2.4146e-06
47.8,-2.3659e-06
47.9,-2.7018e-06
48.0,-2.6859e-06
48.1,-2.1419e-06
48.2,-2.8202e-06
48.3,-2.6087e-06
48.4,-2.5921e-06
48.5,-2.385e-06
48.6,-2.3206e-06
48.7,-2.0116e-06
48.8,-2.8274e-06
48.9,-2.2768e-06
49.0,-2.3514e-06
49.1,-2.5428e-06
49.2,-2.7969e-06
49.3,-2.1199e-06
49.4,-2.5354e-06
49.5,-2.5887e-06
49.6,-2.6565e-06
49.7,-2.4657e-06
49.8,-1.8357e-06
49.9,-2.3095e-06
