Time(S),Current(A)
112.6,0.0052819
112.7,0.0053332
112.8,0.0053238
112.9,0.0053091
113.0,0.0052927
113.1,0.0052775
113.2,0.0052613
113.3,0.0052401
113.4,0.0052139
113.5,0.0051972
113.6,0.0056912
113.7,0.0058392
113.8,0.0051599
113.9,0.0057444
114.0,0.0057705
114.1,0.0057813
114.2,0.0057851
114.3,0.0057814
114.4,0.0057795
114.5,0.0064817
114.6,0.0064008
114.7,0.0062977
114.8,0.0053684
114.9,0.0053801
115.0,0.0053588
115.1,0.0053376
115.2,0.0053138
115.3,0.0052866
115.4,0.0052546
115.5,0.0052208
115.6,0.0052092
115.7,0.0060043
115.8,0.0056198
115.9,0.0056827
116.0,0.0057105
116.1,0.0057154
116.2,0.0057165
116.3,0.005722
116.4,0.0057373
116.5,0.0061847
116.6,0.0061796
116.7,0.0052793
116.8,0.005342
116.9,0.0053394
117.0,0.0053203
117.1,0.0053031
117.2,0.0052867
117.3,0.0052719
117.4,0.0052553
117.5,0.0052285
117.6,0.0052033
